,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
95,2020/081 19:20:26.906,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:20:26.906,0,406034217.703,0.000,2.861,40.069,41.714,1.279,0.265,0,5000,0,399.991,FFFE2F 53CE00 000000 000D00 8E506F 3E0286
96,2020/081 19:19:37.009,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:19:37.009,0,406034217.617,0.000,2.861,40.312,42.471,1.249,0.247,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E506D B33948
97,2020/081 19:18:45.555,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:18:45.555,0,406034217.547,0.000,2.861,39.645,41.079,1.296,0.278,0,5001,0,399.945,FFFE2F 53CE00 000000 000D34 8E5010 DA0867
98,2020/081 19:04:42.791,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:04:42.791,0,406034215.906,0.000,2.861,40.547,42.273,1.277,0.247,0,5002,3,399.883,FFFE28 53CE00 000000 000D14 8E501A 744D8E
99,2020/081 19:03:51.997,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:03:51.997,0,406034215.648,0.000,2.861,40.534,42.048,1.258,0.255,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5074 EF1286
100,2020/081 19:03:01.832,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:03:01.832,0,406034215.570,0.000,2.861,39.213,41.079,1.259,0.280,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E506C 15DB01
101,2020/081 19:02:13.956,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:02:13.956,0,406034215.633,0.000,3.815,39.163,41.296,1.257,0.176,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E5007 10C55F
102,2020/081 19:01:24.436,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:01:24.436,0,406034215.383,0.000,3.815,39.811,41.553,1.261,0.170,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E509A 64A7DF
103,2020/081 19:00:36.310,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:00:36.310,0,406034215.258,0.000,2.861,39.384,40.744,1.268,0.295,0,4999,0,400.052,FFFE2F 53CE00 000000 000D14 8E502D CC0D0C
104,2020/081 18:59:47.833,3169,216,1226,0001,A79C0 00000 00001,2020/081 18:59:47.833,0,406034216.063,0.000,3.815,38.371,42.230,1.267,0.240,0,77,0,400.006,FFFE2F 53CE00 000000 000D14 8E5055 5CA2DB
